index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
115;YEAST_1502;Intake of yeast cultures [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
116;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
117;CONDIMENTS_1504;Condiments intake [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
118;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
119;SOUP_1601;Intake of soups [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
120;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
121;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
122;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
123;SOY_PROD_1701;Intake of soy products [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
124;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
125;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
126;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
127;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
128;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;KORA_S1_P1;__BLANK__;paste;5;5 (7_d_FR_w);complete;identical
