index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
73;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;GINI_P1;"FFQPFLA_15;FFQMAISK_15;FFQSONN_15;FFQWAOEL_15;FFQBUTKO_15;FFQBUTT_15;FFQMARG_15;FFQMARKO_15;FFQREFKO_15;FFQREFO_15";operation;"FFQPFLA_15 +
FFQMAISK_15 +
FFQSONN_15 +
FFQWAOEL_15 +
FFQBUTKO_15 +
FFQBUTT_15 +
FFQMARG_15 +
FFQMARKO_15 +
FFQREFKO_15 +
FFQREFO_15";;complete;compatible
74;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;GINI_P1;"FFQPFLA_15;FFQMAISK_15;FFQSONN_15;FFQWAOEL_15";operation;"FFQPFLA_15 + 
FFQMAISK_15 + 
FFQSONN_15 +
FFQWAOEL_15";;complete;compatible
75;BUTTER_1002;Intake of butter [g/d];decimal;GINI_P1;"FFQBUTKO_15;FFQBUTT_15";operation;"FFQBUTKO_15 +
FFQBUTT_15";;complete;compatible
76;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;GINI_P1;"FFQMARG_15;FFQMARKO_15;FFQREFKO_15;FFQREFO_15";operation;"FFQMARG_15 +
FFQMARKO_15 +
FFQREFKO_15 +
FFQREFO_15";;complete;compatible
77;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
78;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
79;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
80;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;GINI_P1;"FFQSCHOKOL_15;FFQSCHOKOR_15;FFQGUMMIB_15;FFQZUCK_15;FFQEIS_15";operation;"FFQSCHOKOL_15 +
FFQSCHOKOR_15 +
FFQGUMMIB_15 +
FFQZUCK_15 +
FFQEIS_15";;complete;compatible
81;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
82;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;GINI_P1;"FFQSCHOKOL_15;FFQSCHOKOR_15";operation;"FFQSCHOKOL_15 +
FFQSCHOKOR_15";;complete;compatible
