index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
79;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
80;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;SHIP_P1;food_28;direct_mapping;direct_mapping;only frequency;partial;tentative
81;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
82;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
83;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
84;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
85;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
86;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
87;SORBET_110502;Sorbet intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
88;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
89;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;SHIP_P1;food_27;direct_mapping;direct_mapping;only frequency;partial;tentative
90;VARPASTRY_1201;Intake of various pastry [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
91;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
92;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;SHIP_P1;"food_30;food_31";operation;food_30 + food_31;only frequency;partial;tentative
93;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;SHIP_P1;food_30;direct_mapping;direct_mapping;only frequency;partial;tentative
94;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;SHIP_P1;food_31;direct_mapping;direct_mapping;only frequency;partial;tentative
95;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
96;COFFEE_130301;Coffee intake [g/d];decimal;SHIP_P1;kaffee;operation;kaffee*(Portion size);;complete;compatible
97;TEA_130302;Tea intake [g/d];decimal;SHIP_P1;tee;operation;tee*(Portion size);;complete;compatible
98;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
99;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
100;WATER_1304;Intake of water and water-based beverages [g/d];decimal;SHIP_P1;food_32;direct_mapping;direct_mapping;only frequency;partial;tentative
101;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;SHIP_P1;alcg7d_s0 oder alcg30d_s0;direct_mapping;direct_mapping;ethanol intake in last 7 days oder ethanol ibtake in the last 30 days;complete;identical
102;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;SHIP_P1;"weinwe;weinwt";operation;(weinwe + weinwt)/2;average intake from exemplary weekday and weekend;complete;compatible
103;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
104;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;SHIP_P1;"bierwe;bierwt";operation;(bierwe + bierwt)/2;average intake from exemplary weekday and weekend;complete;compatible
105;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;SHIP_P1;"schnwe;schnwt";operation;(schnwe + schnwt)/2;average intake from exemplary weekday and weekend;complete;compatible
106;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
107;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
108;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
109;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
110;SAUCES_1501;Intake of savoury sauces [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
111;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
112;DRESSINGS_150102;Dressing intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
113;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
114;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
115;YEAST_1502;Intake of yeast cultures [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
116;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
117;CONDIMENTS_1504;Condiments intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
118;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
119;SOUP_1601;Intake of soups [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
120;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
121;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
122;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
123;SOY_PROD_1701;Intake of soy products [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
124;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
125;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
126;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;SHIP_P1;food_29;direct_mapping;direct_mapping;only frequency;partial;tentative
127;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
128;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;SHIP_P1;__BLANK__;paste;0;0 (FPQ);complete;identical
